3 0.9933268E-01 0.1660595 0.3895579 0.9999060E-02 0.7258676E-02 1.437575 0.1746868E-01  1.32752  
4 0.9934534E-01 0.1660268 0.3895640 0.9999272E-02 0.7258619E-02 1.437576 0.1746825E-01  1.32716  
1 0.9925806E-01 0.1660090 0.3895600 0.9997684E-02 0.7256432E-02 1.437567 0.1747001E-01  1.32800  
1 0.9925806E-01 0.1660090 0.3895600 0.9997684E-02 0.7256432E-02 1.437567 0.1747001E-01  1.32800  
2 0.9933890E-01 0.1660168 0.3895652 0.9999077E-02 0.7258231E-02 1.437574 0.1746843E-01  1.32717  
5 0.9838656E-01 0.1677697 0.3893568 0.9997975E-02 0.7263297E-02 1.437583 0.1746918E-01  1.34903  
2 0.9929203E-01 0.1659443 0.3895740 0.9998223E-02 0.7256797E-02 1.437570 0.1746908E-01  1.32720  
8 0.9950896E-01 0.1662374 0.3895620 0.9998274E-02 0.7263593E-02 1.437583 0.1746923E-01  1.32700  
4 0.9935144E-01 0.1660317 0.3895653 0.9999349E-02 0.7258855E-02 1.437576 0.1746822E-01  1.32713  
2 0.9932783E-01 0.1660547 0.3895587 0.9998951E-02 0.7258567E-02 1.437574 0.1746879E-01  1.32755  
2 0.9929558E-01 0.1659489 0.3895732 0.9998284E-02 0.7256886E-02 1.437570 0.1746905E-01  1.32719  
6 0.9937271E-01 0.1660803 0.3895577 0.9999819E-02 0.7259705E-02 1.437579 0.1746784E-01  1.32722  
3 0.9935609E-01 0.1660365 0.3895638 0.9999440E-02 0.7258750E-02 1.437576 0.1746807E-01  1.32711  
1 0.9925806E-01 0.1660090 0.3895600 0.9997684E-02 0.7256432E-02 1.437567 0.1747001E-01  1.32800  
4 0.9932650E-01 0.1659988 0.3895649 0.9998895E-02 0.7257674E-02 1.437573 0.1746846E-01  1.32717  
2 0.9933068E-01 0.1660551 0.3895565 0.9998986E-02 0.7258356E-02 1.437574 0.1746873E-01  1.32751  
2 0.9935255E-01 0.1660554 0.3895584 0.9999349E-02 0.7258811E-02 1.437576 0.1746832E-01  1.32727  
4 0.9937694E-01 0.1660694 0.3895594 0.9999852E-02 0.7259486E-02 1.437578 0.1746774E-01  1.32710  
1 0.9925806E-01 0.1660090 0.3895600 0.9997684E-02 0.7256432E-02 1.437567 0.1747001E-01  1.32800  
4 0.9937214E-01 0.1660645 0.3895596 0.9999746E-02 0.7259298E-02 1.437577 0.1746786E-01  1.32712  
5 0.9936044E-01 0.1660744 0.3895573 0.9999618E-02 0.7259149E-02 1.437577 0.1746800E-01  1.32731  
2 0.9935077E-01 0.1660698 0.3895572 0.9999355E-02 0.7259125E-02 1.437576 0.1746839E-01  1.32739  
3 0.9935114E-01 0.1660340 0.3895632 0.9999386E-02 0.7258791E-02 1.437577 0.1746814E-01  1.32715  
4 0.9934815E-01 0.1660322 0.3895662 0.9999303E-02 0.7258830E-02 1.437576 0.1746823E-01  1.32717  
5 0.9934065E-01 0.1660138 0.3895652 0.9999169E-02 0.7258263E-02 1.437575 0.1746828E-01  1.32712  
4 0.9931405E-01 0.1660340 0.3895627 0.9998780E-02 0.7258039E-02 1.437573 0.1746879E-01  1.32755  
3 0.9935652E-01 0.1660347 0.3895627 0.9999427E-02 0.7258716E-02 1.437576 0.1746813E-01  1.32709  
4 0.9932195E-01 0.1659854 0.3895707 0.9998807E-02 0.7257700E-02 1.437573 0.1746857E-01  1.32714  
5 0.9934202E-01 0.1660623 0.3895575 0.9999346E-02 0.7258839E-02 1.437577 0.1746824E-01  1.32743  
