1.1736  0.0010   0.0085
1.1232  0.8642   0.0085
1.1232  0.8642   0.0085
1.1111  1.7295   0.0085
1.1111  1.7295   0.0085
1.0985  2.5927   0.0085
1.0985  2.5927   0.0085
1.0858  3.4545   0.0085
1.0858  3.4545   0.0085
1.0737  4.3155   0.0085
1.0737  4.3155   0.0085
1.0621  5.1759   0.0085
1.0621  5.1759   0.0085
1.0512  6.0360   0.0085
1.0512  6.0360   0.0085
1.0409  6.8958   0.0085
1.0409  6.8958   0.0085
1.0310  7.7555   0.0085
1.0310  7.7555   0.0085
1.0217  8.6153   0.0085
1.0311  8.6153   0.0105
1.0219  9.4741   0.0105
1.0301  9.4741   0.0122
1.0208  10.332   0.0122
1.0302  10.332   0.0142
1.0208  11.189   0.0142
1.0300  11.189   0.0162
1.0205  12.046   0.0162
1.0306  12.046   0.0185
1.0209  12.902   0.0185
1.0307  12.902   0.0207
1.0207  13.758   0.0207
1.0302  13.758   0.0230
1.0200  14.613   0.0230
1.0300  14.613   0.0255
1.0196  15.468   0.0255
1.0301  15.468   0.0282
1.0193  16.322   0.0282
1.0301  16.322   0.0312
1.0189  17.176   0.0312
1.0307  17.176   0.0347
1.0190  18.028   0.0347
1.0306  18.028   0.0385
1.0183  18.881   0.0385
1.0304  18.881   0.0427
1.0174  19.732   0.0427
1.0301  19.732   0.0477
1.0164  20.583   0.0477
1.0303  20.583   0.0540
1.0156  21.433   0.0540
1.0300  21.433   0.0617
1.0141  22.282   0.0617
1.0302  22.282   0.0727
1.0128  23.129   0.0727
1.0257  23.129   0.0850
1.0068  23.975   0.0850
