1.0362  0.0010   0.0051
0.9866  2.0848   0.0051
1.0361  2.0848   0.0066
1.0143  4.1659   0.0066
1.0356  4.1659   0.0073
1.0161  6.2385   0.0073
1.0354  6.2385   0.0081
1.0182  8.3064   0.0081
1.0301  8.3064   0.0086
1.0144  10.372   0.0086
1.0311  10.372   0.0093
1.0170  12.435   0.0093
1.0328  12.435   0.0101
1.0196  14.498   0.0101
1.0343  14.498   0.0108
1.0217  16.559   0.0108
1.0310  16.559   0.0113
1.0186  18.621   0.0113
1.0319  18.621   0.0121
1.0203  20.682   0.0121
1.0329  20.682   0.0128
1.0215  22.743   0.0128
1.0336  22.743   0.0136
1.0224  24.805   0.0136
1.0336  24.805   0.0143
1.0226  26.867   0.0143
1.0334  26.867   0.0151
1.0226  28.929   0.0151
1.0328  28.929   0.0158
1.0227  30.992   0.0158
1.0318  30.992   0.0166
1.0218  33.055   0.0166
1.0311  33.055   0.0173
1.0202  35.120   0.0173
1.0314  35.120   0.0183
1.0211  37.184   0.0183
1.0323  37.184   0.0193
1.0217  39.249   0.0193
1.0323  39.249   0.0203
1.0215  41.314   0.0203
1.0314  41.314   0.0213
1.0204  43.380   0.0213
1.0320  43.380   0.0226
1.0209  45.446   0.0226
1.0316  45.446   0.0238
1.0201  47.512   0.0238
